Year,category,sub-category,dep_perc,dep_val,sale_val,depreciation_perc_cumulative,tier_2_depreciation,tier_3_depreciation
0,Watch,ALL,0.1,0.1,0.9,0.1,0.05,0.07
1,Watch,ALL,0.1,0.09,0.81,0.19,0.05,0.07
2,Watch,ALL,0.1,0.08,0.73,0.27,0.05,0.07
3,Watch,ALL,0.1,0.07,0.66,0.34,0.05,0.07
4,Watch,ALL,0.1,0.07,0.59,0.41,0.05,0.07
5,Watch,ALL,0.1,0.06,0.53,0.47,0.05,0.07
6,Watch,ALL,0.1,0.05,0.48,0.52,0.05,0.07
7,Watch,ALL,0.02,0.01,0.47,0.53,0.05,0.07
8,Watch,ALL,0.02,0.01,0.46,0.54,0.05,0.07
9,Watch,ALL,0.02,0.01,0.45,0.55,0.05,0.07
10,Watch,ALL,0.02,0.01,0.44,0.56,0.05,0.07
11,Watch,ALL,0.02,0.01,0.43,0.57,0.05,0.07
12,Watch,ALL,0.02,0.01,0.42,0.58,0.05,0.07
13,Watch,ALL,0.02,0.01,0.42,0.58,0.05,0.07
14,Watch,ALL,0.02,0.01,0.41,0.59,0.05,0.07
15,Watch,ALL,0.02,0.01,0.4,0.6,0.05,0.07
16,Watch,ALL,0.02,0.01,0.39,0.61,0.05,0.07
17,Watch,ALL,0.02,0.01,0.38,0.62,0.05,0.07
18,Watch,ALL,0.02,0.01,0.38,0.62,0.05,0.07
19,Watch,ALL,0.02,0.01,0.37,0.63,0.05,0.07
20,Watch,ALL,0.02,0.01,0.36,0.64,0.05,0.07
0,TV,ALL,0.13,13,0.87,0.13,0.05,0.07
1,TV,ALL,0.13,11.3,0.76,0.24,0.05,0.07
2,TV,ALL,0.13,9.8,0.66,0.34,0.05,0.07
3,TV,ALL,0.13,8.6,0.57,0.43,0.05,0.07
4,TV,ALL,0.13,7.4,0.5,0.5,0.05,0.07
5,TV,ALL,0.13,6.5,0.43,0.57,0.05,0.07
6,TV,ALL,0.05,2.2,0.41,0.59,0.05,0.07
7,TV,ALL,0.05,2.1,0.39,0.61,0.05,0.07
8,TV,ALL,0.05,2,0.37,0.63,0.05,0.07
9,TV,ALL,0.05,1.9,0.35,0.65,0.05,0.07
10,TV,ALL,0.05,1.8,0.34,0.66,0.05,0.07
11,TV,ALL,0.02,0.7,0.33,0.67,0.05,0.07
12,TV,ALL,0.02,0.7,0.32,0.67,0.05,0.07
13,TV,ALL,0.02,0.6,0.32,0.68,0.05,0.07
14,TV,ALL,0.02,0.6,0.31,0.69,0.05,0.07
15,TV,ALL,0.02,0.6,0.3,0.7,0.05,0.07
16,TV,ALL,0.02,0.6,0.3,0.7,0.05,0.07
17,TV,ALL,0.02,0.6,0.29,0.71,0.05,0.07
18,TV,ALL,0.02,0.6,0.29,0.71,0.05,0.07
19,TV,ALL,0.02,0.6,0.28,0.72,0.05,0.07
20,TV,ALL,0.02,0.6,0.27,0.73,0.05,0.07
0,Generic,ALL,0.13,13,0.87,0.13,0.05,0.07
1,Generic,ALL,0.13,11.3,0.76,0.24,0.05,0.07
2,Generic,ALL,0.13,9.8,0.66,0.34,0.05,0.07
3,Generic,ALL,0.13,8.6,0.57,0.43,0.05,0.07
4,Generic,ALL,0.13,7.4,0.5,0.5,0.05,0.07
5,Generic,ALL,0.13,6.5,0.43,0.57,0.05,0.07
6,Generic,ALL,0.05,2.2,0.41,0.59,0.05,0.07
7,Generic,ALL,0.05,2.1,0.39,0.61,0.05,0.07
8,Generic,ALL,0.05,2,0.37,0.63,0.05,0.07
9,Generic,ALL,0.05,1.9,0.35,0.65,0.05,0.07
10,Generic,ALL,0.05,1.8,0.34,0.66,0.05,0.07
11,Generic,ALL,0.02,0.7,0.33,0.67,0.05,0.07
12,Generic,ALL,0.02,0.7,0.32,0.67,0.05,0.07
13,Generic,ALL,0.02,0.6,0.32,0.68,0.05,0.07
14,Generic,ALL,0.02,0.6,0.31,0.69,0.05,0.07
15,Generic,ALL,0.02,0.6,0.3,0.7,0.05,0.07
16,Generic,ALL,0.02,0.6,0.3,0.7,0.05,0.07
17,Generic,ALL,0.02,0.6,0.29,0.71,0.05,0.07
18,Generic,ALL,0.02,0.6,0.29,0.71,0.05,0.07
19,Generic,ALL,0.02,0.6,0.28,0.72,0.05,0.07
20,Generic,ALL,0.02,0.6,0.27,0.73,0.05,0.07
0,Laptop,Macbook,0.12,13,0.87,0.13,0.05,0.07
1,Laptop,Macbook,0.12,11.3,0.76,0.24,0.05,0.07
2,Laptop,Macbook,0.12,9.8,0.66,0.34,0.05,0.07
3,Laptop,Macbook,0.12,8.6,0.57,0.43,0.05,0.07
4,Laptop,Macbook,0.12,7.4,0.5,0.5,0.05,0.07
5,Laptop,Macbook,0.12,6.5,0.43,0.57,0.05,0.07
6,Laptop,Macbook,0.05,2.2,0.41,0.59,0.05,0.07
7,Laptop,Macbook,0.05,2.1,0.39,0.61,0.05,0.07
8,Laptop,Macbook,0.05,2,0.37,0.63,0.05,0.07
9,Laptop,Macbook,0.05,1.9,0.35,0.65,0.05,0.07
10,Laptop,Macbook,0.05,1.8,0.34,0.66,0.05,0.07
11,Laptop,Macbook,0.02,0.7,0.33,0.67,0.05,0.07
12,Laptop,Macbook,0.02,0.7,0.32,0.67,0.05,0.07
13,Laptop,Macbook,0.02,0.6,0.32,0.68,0.05,0.07
14,Laptop,Macbook,0.02,0.6,0.31,0.69,0.05,0.07
15,Laptop,Macbook,0.02,0.6,0.3,0.7,0.05,0.07
16,Laptop,Macbook,0.02,0.6,0.3,0.7,0.05,0.07
17,Laptop,Macbook,0.02,0.6,0.29,0.71,0.05,0.07
18,Laptop,Macbook,0.02,0.6,0.29,0.71,0.05,0.07
19,Laptop,Macbook,0.02,0.6,0.28,0.72,0.05,0.07
20,Laptop,Macbook,0.02,0.6,0.27,0.73,0.05,0.07
0,Audio,Bluetooth Speaker,0.10,0.1,0.9,0.10,0.07,0.1
1,Audio,Bluetooth Speaker,0.10,0.09,0.81,0.19,0.07,0.1
2,Audio,Bluetooth Speaker,0.10,0.08,0.73,0.27,0.07,0.1
3,Audio,Bluetooth Speaker,0.10,0.07,0.66,0.34,0.07,0.1
4,Audio,Bluetooth Speaker,0.10,0.07,0.59,0.41,0.07,0.1
5,Audio,Bluetooth Speaker,0.10,0.06,0.53,0.47,0.07,0.1
6,Audio,Bluetooth Speaker,0.10,0.05,0.48,0.52,0.07,0.1
7,Audio,Bluetooth Speaker,0.02,0.01,0.47,0.53,0.07,0.1
8,Audio,Bluetooth Speaker,0.02,0.01,0.46,0.54,0.07,0.1
9,Audio,Bluetooth Speaker,0.02,0.01,0.45,0.55,0.07,0.1
10,Audio,Bluetooth Speaker,0.02,0.01,0.44,0.56,0.07,0.1
11,Audio,Bluetooth Speaker,0.02,0.01,0.43,0.57,0.07,0.1
12,Audio,Bluetooth Speaker,0.02,0.01,0.42,0.58,0.07,0.1
13,Audio,Bluetooth Speaker,0.02,0.01,0.42,0.58,0.07,0.1
14,Audio,Bluetooth Speaker,0.02,0.01,0.41,0.59,0.07,0.1
15,Audio,Bluetooth Speaker,0.02,0.01,0.4,0.60,0.07,0.1
16,Audio,Bluetooth Speaker,0.02,0.01,0.39,0.61,0.07,0.1
17,Audio,Bluetooth Speaker,0.02,0.01,0.38,0.62,0.07,0.1
18,Audio,Bluetooth Speaker,0.02,0.01,0.38,0.62,0.07,0.1
19,Audio,Bluetooth Speaker,0.02,0.01,0.37,0.63,0.07,0.1
20,Audio,Bluetooth Speaker,0.02,0.01,0.36,0.64,0.07,0.1