SKU_ID,Category,Sub_Category,Product_Age_Years1,Condition_Tier,Best_Online_Price,Final_Listed_Price,Status,Source,Original Listing,Listing_ID,Brand,Model_Name,Purchase_Year,Product_Age_Years,Condition_Tier,Condition_Notes,Functional_Status,Repaired_or_Serviced,Media_Complete,Image_URL_1 (Screen ON / Action Pose),Image_URL_2 (Front Frame),Image_URL_3 (Accessories),Image_URL_4 (Serial Label / Branding),Video_URL,Suggested_Price_Range,MRP_Price,Created_At,Last_Updated_At,Spec_1,Spec_2,Spec_3,Spec_4,Spec_5,Spec_6,Spec_7,Spec_8,Spec_9,Spec_10,Accessory_1,Accessory_2,Accessory_3,Accessory_4,Accessory_5,warranty_period,brand_tier
JBL_FLIP4_2017,Audio,Bluetooth Speaker,9,Very Good,4499,1500.00,Ready,Referral,N/A,AUDIO_JBL_001,JBL,Flip 4,2017,8,Very Good,Gently used; battery degradation; occasional crackling before shutdown,Works with known battery-related quirks,No,Charger and strap included,0017 - AUDIO_JBL_001,,,,,"₹1,400 – ₹1,600","₹9,999",02/06/2025,02/06/2025,Bluetooth Version: 4.2,Output Power: 2 × 8W,Battery Life: Up to 12 hours,Charging Time: 3.5 hours,Waterproof Rating: IPX7,Frequency Response: 70Hz – 20kHz,Signal-to-Noise Ratio: ≥80dB,Speaker Driver Size: 2 × 40mm,Dimensions: 68 x 175 x 70 mm,Weight: 515g,Micro USB Charging Cable,Carrying Strap,,,,,
BOAT_STONE358_2024,Audio,Bluetooth Speaker,2,Like New,1999,1800.00,Ready to List,Referral,,AUDIO_BOAT_013,boAt,Stone 358,2024,1,Like New,"Gently used for 12 months, no visible wear or blemishes. Fully functional and well-maintained.",Fully Functional,No,Yes,0018 - AUDIO_BOAT_013,,,,,"₹1,300 – ₹1,950","₹3,490",14/06/2025,14/06/2025,Bluetooth Version: 5.0,Output Power: 10W RMS,Battery Capacity: 2000mAh,Playback Time: Up to 12 hours (60% volume),Charging Time: ~4 hours,Water Resistance: IPX7 Rated,Driver Size: 50mm,Frequency Response: 100Hz–20kHz,"Connectivity: Bluetooth, AUX, TF Card",Built-in Microphone: Yes,,USB Charging Cable,User Manual,Carrying Cord (Lanyard),Retail Box,,
Fujifilm_InstaxMini9_2023,Camera,Instant Camera,4,Excellent,3999,2500.00,Ready,Referral,"Used gently, upgraded to Instax 11, works perfectly, a few photos left in reel",Camera_Fujifilm_001,Fujifilm,Instax Mini 9,2022,3,Excellent,"Light use, no cosmetic damage, includes strap, lens, manual, batteries",Fully Functional,No,Yes,0016 - Camera_Fujifilm_001,,,,,"₹2,300 – ₹2,800","₹7,696",02/06/2025,02/06/2025,Film Format: Fujifilm Instax Mini Instant Film,Lens Type: 60mm f/12.7,Focus Range: 0.6 m to ∞,"Viewfinder: Real image, 0.37x",Exposure Control: Manual with LED Indicator,"Flash: Built-in, auto-adjust",Shutter Speed: 1/60 sec,Battery: 2 x AA alkaline,Built-in Mirror: Yes,"Dimensions & Weight: 116 × 118.3 × 68.2 mm, 307g",Wrist Strap,Close-up Lens,User Manual,Battery Set (inside camera),–,,
SLEEPWELL_KING_72x78x4,Furniture,Mattress,4,Very Good,6000,2800.00,Live,Direct Seller,,MATT_SLEEPWELL_001,Sleepwell,Unknown,2022,2.5,Very Good,"Slight surface impressions, clean fabric, no sagging, firm structure, well-maintained.",Fully functional,No,Yes,0009 - MATT_SLEEPWELL_001,,,,,"₹2,500 – ₹3,200","₹10,000",18/05/2025,18/05/2025,Sleepwell Comfort Foam Mattress,72x78x4,"4""",Foam,Medium,Quilted,No,No,,India,No,Yes,No,No,No,,
IKEA_00192594_2022,Home,Wall Décor,4,Mint,1222,1200.00,Ready to List,Referral,,HOME_IKEA_721,IKEA,SÖRLI,2022,1.5,Mint,"Sealed, unused twin packs of IKEA SÖRLI mirror tiles. No visible damage or wear. Packaged and intact.",Fully Functional,No,Yes,0019 - HOME_IKEA_721,,,,,"₹1,000 – ₹1,300","₹1,500",14/06/2025,14/06/2025,Brand: IKEA,Model / Series: SÖRLI,Dimensions: 20 × 20 cm,Quantity per Pack: 4 tiles (total 8 tiles),Material: Glass,Mounting Type: Self-adhesive or wall-mounted,Finish: Clear mirror finish,Weight: Approx. 1.4 kg per pack,Usage Location: Indoor only,Country of Origin: China,Original Retail Packaging (sealed),,,,,,
USHA_HM3732_2024,Kitchen Appliances,Electric Hand Mixer,2,Mint,2000,1800.00,Ready to List,Referral,,KITCHEN_USHA_388,USHA,HM 3732,2024,0,Mint,Product is brand new and unused. All accessories present. Box has minor wear only.,Fully Functional,No,Yes,0020 - KITCHEN_USHA_388,,,,,"₹1,500 – ₹2,000","₹3,590",14/06/2025,14/06/2025,Brand: USHA,Model Number: HM 3732,Power: 300 Watts,Speed Settings: 5-Speed + Turbo,Turbo Function: Yes,Attachments: 2 Beaters + 2 Dough Hooks,Body Material: Plastic with SS Finish,"Storage Option: Yes, with storage case","Voltage: 220–240V AC, 50Hz",Country of Origin: China,,2 Beaters (Chrome-plated),2 Dough Hooks,Plastic Storage Case,Original Box,,
APL_MAC_M1_16_256_2021,Laptop,MacBook,5,Like New,109000,59000.00,Live,Referral - Bagga,,LAPTOP_MACBOOKAIR_M1_001,Apple,MacBook Air M1 (A2337),2021,3,Like New,"Mint condition, no scratches or dents. Lightly used. Battery health 91%.",Fully functional,No,Yes,0010 - LAPTOP_MACBOOKAIR_M1_001,,,,,"₹55,000 – ₹60,000","₹1,09,000",21/05/2025,21/05/2025,"13.3""",Apple M1 (8C CPU / 7C GPU),16GB,256GB SSD,macOS Sequoia 15,Integrated (Apple 7-core GPU),Retina,10+ hrs,MacBook Air,India,Yes,No,Yes,No,Yes,,
HAIER_HRD1923_2022,Refrigerator,Single Door,4,Excellent,13000,13000.00,Live,Referral - Likith,,FRIDGE_HAIER_001,Haier,HRD-1923,2022,2,Excellent,"Unused but stored for 2 years, minor shelf wear, fully functional, no warranty",Fully functional,No,Yes,0005 - FRIDGE_HAIER_001,,,,,"₹7,000 – ₹8,000","₹18,500",07/05/2025,07/05/2025,192L Gross,185L Storage,Direct Cool,3 Star,169 Units/Year,Stabilizer Free,135–290V Range,India,Diamond Edge Freezing,Power Cord,No,No,No,No,,,
SOFA_GENERIC_2S_2022,Sofa,2 Seater,4,Excellent,9999,4999.00,Sold,OLX,Link,SOFA_BLUE_001,Unknown,Plush Blue Fabric Sofa,2022,2,Excellent,"Used for 2 years, great bounce, good backrest and thigh support. Slight creasing on fabric.",Fully functional,No,Yes,004 - SOFA_BLUE_001,,,,,"₹4,000 – ₹5,500","₹14,000 (est.)",23/04/2025,23/04/2025,2 seater,60x35x34 in,Wood,Velvet/Fabric Blend,Blue,-,-,Living Room,NA,India,No,No,No,No,No,,
JBL_PBX110_2024,Speaker,Party Speaker,2,Mint,24800,22499.00,Sold,Olx,Link,SPK_JBL_001,JBL,PartyBox 110,2024,0,Mint,"Just 1 day old, lights working, Bluetooth functional, no signs of use, clean exterior",Fully functional,No,Yes,https://drive.google.com/drive/folders/1nBOaRXL1PYeVuRHd8sC8oYrOZq7gjkgO?usp=drive_link,,,,,"₹20,000 – ₹24,000","35,999",22/04/2025,22/04/2025,160W,2,"AUX, Bluetooth, USB",Yes,App Control,12 hours,68.2 x 36.7 x 36 cm,Yes,Portable,India,No,Yes,No,No,Yes,,
TCL_IF32A51_HD2023,TV,Smart LED TV,3,Mint,8000,8499.00,Sold,FB,Link,TV_IFFALCON_001,iFFALCON,32F2A Android Smart,2023,1,Mint,"Excellent condition, powered on and tested. Plastic film still intact. No scratches, clean frame, wall mounted.",Fully functional,No,Yes,https://drive.google.com/drive/folders/1gvt2xN3_Vfj6EUUwgQ7cUuloHS29-oCj?usp=drive_link,,,,,"₹7,500 – ₹9,000","26,990",22/04/2025,22/04/2025,32 inch,HD,LED,Android TV,"2 HDMI, 1 USB",Yes,20W,60Hz,F2A Series,India,Yes,No,Yes,Yes,No,,
HAIER_LE43K7500UGA_2024,TV,Smart LED TV,2,Good,27500,14499.00,Sold,FB,Link,TV_HAIER_001,Haier,LE43K7500UGA,2024,1,Good,Small vertical line visible on screen in some backgrounds. Fully functional otherwise with box and remote.,Fully functional,No,Yes,003 - TV_HAIER_001,,,,,"₹13,000 – ₹15,000","₹50,990",23/04/2025,23/04/2025,43 inch,4K UHD,LED,Android 11,"3 HDMI, 2 USB",Yes,20W,60Hz,K7500 Series,India,Yes,Yes,Yes,Yes,Yes,,
DIESEL_DZ1847_2023,Watch,Analog,3,Very Good,5295,4200.00,Sold,Mohamed - Power seller,,WATCH_DIESEL_001,Diesel,DZ1847,2023,2,Very Good,"Occasional use, aftermarket strap, fully functional",Fully Functional,No,Yes,0011 - WATCH_DIESEL_001,,,,,"₹3,900 – ₹4,400","₹9,795",27/05/2025,27/05/2025,Display Type: Analog,Dial Color: Blue,Strap Material: Aftermarket Leather,Case Diameter: ~46 mm,Case Thickness: ~12 mm,Case Material: Stainless Steel,Movement Type: Quartz,Water Resistance: 10 BAR,Crystal Type: Mineral,Date Display: Yes,No,No,No,No,No,,
CAT_LR-111-21-127_2023,Watch,Analog,3,Very Good,6000,3800.00,Ready,Mohamed - Power seller,,WATCH_CAT_002,Caterpillar,LR-111-21-127 (Visual Match),2023,2,Very Good,"8/10 condition, occasional use, original strap",Fully Functional,No,Yes,0012 - WATCH_CAT_002,,,,,"₹3,500 – ₹4,000","₹9,000 (est.)",27/05/2025,27/05/2025,Display Type: Analog,Dial Color: Black with Yellow Accents,Strap Material: Rubber,Case Diameter: ~44 mm,Case Material: Stainless Steel,Movement Type: Quartz (Japan),Water Resistance: 100M,Crystal Type: Mineral,Lug Width: 22 mm,Crown Type: Push/Pull with Logo,,,,,,,
LOUIS_CHRONO_2023,Watch,Analog Chronograph,3,Very Good,3900,3000.00,Ready,Mohamed - Power seller,,WATCH_LOUIS_003,Louis Arden,Chronograph Rectangular (Visual),2023,2,Very Good,"7.5/10 condition, signs of wear, fully functional",Fully Functional,No,Yes,0013 - WATCH_LOUIS_003,,,,,"₹2,800 – ₹3,200","₹5,500 (estimated)",27/05/2025,27/05/2025,Display Type: Analog Chronograph,Dial Shape: Rectangular,Dial Color: Black,Bracelet Material: Stainless Steel,Movement Type: Quartz,Chronograph Subdials: Yes,Date Display: Yes,Crystal Type: Mineral,,Crown Type: Push/Pull with Logo,,,,,,,
SEKONDA_N3729_2023,Watch,Analog,3,Mint,4200,3800.00,Ready,Mohamed - Power seller,,WATCH_SEKONDA_004,Sekonda,N3729,2023,2,Mint,"Pristine condition, fully functional",Fully Functional,No,Yes,0014 - WATCH_SEKONDA_004,,,,,"₹3,400 – ₹3,900","₹5,500 (est.)",27/05/2025,27/05/2025,Display Type: Analog,Dial Color: White,Case Shape: Round,Bracelet Material: Stainless Steel,Movement Type: Quartz,Water Resistance: 50 Metres,Date Display: Yes,Crystal Type: Mineral Glass,Case Material: Stainless Steel,Clasp Type: Fold-over (Engraved),,,,,,,
WESTAR_90015TSN_2023,Watch,Analog,3,Like New,3200,2000.00,Ready,Mohamed - Power seller,,WATCH_WESTAR_005,Westar,Activ 90015TSN,2023,2,Like New,"9.5/10, aftermarket strap, fully functional",Fully Functional,No,Yes,0015 - WATCH_WESTAR_005,,,,,"₹1,800 – ₹2,200","₹4,000 (estimated)",27/05/2025,27/05/2025,Display Type: Analog,Dial Color: Black,Strap Material: Rubber (Aftermarket),Case Diameter: ~44 mm,Case Material: Stainless Steel,Movement Type: Quartz,Water Resistance: 5 ATM,Crystal Type: Mineral,Date Display: Yes,Crown Type: Push/Pull,,,,,,,
TITAN_9308KM02,Watch,Analog Watch,3,Good,0,3000.00,Live,Power Seller (Mohamed),,WATCH_TITAN_001,Titan,9308KM02,Unknown,~2 (Est.),Good,"Minor scuffs on back, overall polished appearance, functioning chronograph",Fully functional,No,Yes,0006 - WATCH_TITAN_001,,,,,"₹2,700 – ₹3,200","₹11,500",07/05/2025,07/05/2025,44mm,Analog,Casual,Stainless Steel,100m,Quartz,Mineral,Chronograph,Titan Octane,India,No,No,No,No,No,,
POLICE_P14374JS_22M,Watch,Analog Watch,4,Good,0,2600.00,Sold,Power Seller (Mohamed),,WATCH_POLICE_002,Police,P14374JS-22M,Unknown,~3 (Est.),Good,"Minor wear, aftermarket leather strap. No major scratches.",Fully functional,No,Yes,0007 - WATCH_POLICE_002,,,,,"₹2,200 – ₹2,700","₹14,500",07/05/2025,07/05/2025,44mm,Analog,Casual,Aftermarket Leather,50m,Quartz,Mineral,Day & Date Display,N/A,India,No,No,No,No,No,,
FOSSIL_CH2600,Watch,Men's Analog,2,Excellent,9995,3600.00,Sold,Power Seller (Mohamed),,WATCH_FOSSIL_003,Fossil,Decker CH2600,Unknown,,Excellent,"Minor signs of wear, bracelet and glass in good condition, fully functional",Fully functional,No,Yes,0008 - WATCH_FOSSIL_003,,,,,"₹3,200 – ₹3,600","₹8,995",07/05/2025,07/05/2025,44mm,Analog,Casual,Stainless Steel,100m,Quartz,Mineral,"Chronograph, Date Display, Tachymeter",Decker,India,No,No,No,No,No,,